Altersgruppe,Bildungsgruppe,Gender,Frequency,Freq_ges,Percent,LowerCL,UpperCL,Bundesland,Standard,Variable,BundeslandId
Gesamt,Gesamt,Frauen,252,405,60.109,52.892,66.911,Schleswig-Holstein,0,AMarztB,1
Gesamt,Gesamt,Frauen,295,432,60.021,53.016,66.639,Brandenburg,1,AMarztB,12
Gesamt,Gesamt,Frauen,295,432,65.944,59.212,72.088,Brandenburg,0,AMarztB,12
Gesamt,Gesamt,Frauen,299,497,51.522,44.701,58.286,Rheinland-Pfalz,1,AMarztB,7
Gesamt,Gesamt,Frauen,299,497,55.113,48.566,61.486,Rheinland-Pfalz,0,AMarztB,7
Gesamt,Gesamt,Frauen,310,473,55.782,48.833,62.511,Sachsen,1,AMarztB,14
Gesamt,Gesamt,Frauen,310,473,61.458,55.057,67.485,Sachsen,0,AMarztB,14
Gesamt,Gesamt,Frauen,465,732,59.772,54.367,64.95,Hessen,1,AMarztB,6
Gesamt,Gesamt,Frauen,465,732,61.511,56.295,66.475,Hessen,0,AMarztB,6
Gesamt,Gesamt,Frauen,541,924,55.473,50.772,60.079,Niedersachsen,1,AMarztB,3
Gesamt,Gesamt,Frauen,541,924,58.322,53.855,62.657,Niedersachsen,0,AMarztB,3
Gesamt,Gesamt,Frauen,728,1148,59.231,54.942,63.384,Berlin,1,AMarztB,11
Gesamt,Gesamt,Frauen,728,1148,59.566,55.253,63.737,Berlin,0,AMarztB,11
Gesamt,Gesamt,Frauen,734,1295,51.447,47.592,55.284,Baden-Württemberg,1,AMarztB,8
Gesamt,Gesamt,Frauen,734,1295,52.857,49.076,56.606,Baden-Württemberg,0,AMarztB,8
Gesamt,Gesamt,Frauen,738,1115,58.762,53.422,63.903,Saarland,1,AMarztB,10
Gesamt,Gesamt,Frauen,738,1115,63.039,58.402,67.447,Saarland,0,AMarztB,10
Gesamt,Gesamt,Frauen,910,1589,55.388,51.795,58.926,Bayern,1,AMarztB,9
Gesamt,Gesamt,Frauen,910,1589,57.372,53.863,60.809,Bayern,0,AMarztB,9
Gesamt,Gesamt,Frauen,1331,2101,58.917,55.711,62.049,Nordrhein-Westfalen,1,AMarztB,5
Gesamt,Gesamt,Frauen,1331,2101,61.688,58.636,64.652,Nordrhein-Westfalen,0,AMarztB,5
Gesamt,Gesamt,Frauen,7394,11958,59.234,57.885,60.57,Deutschland,0,AMarztB,0
Gesamt,Obere,Frauen,3013,5222,50.199,48.327,52.071,Deutschland,0,AMarztB,0
Gesamt,Obere,Frauen,3013,5222,52.936,51.022,54.841,Deutschland,1,AMarztB,0
Gesamt,Mittlere,Frauen,3741,5853,56.78,54.95,58.592,Deutschland,1,AMarztB,0
Gesamt,Mittlere,Frauen,3741,5853,58.874,57.153,60.573,Deutschland,0,AMarztB,0
Gesamt,Untere,Frauen,623,855,60.837,56.011,65.461,Deutschland,1,AMarztB,0
Gesamt,Untere,Frauen,623,855,69.292,65.381,72.943,Deutschland,0,AMarztB,0
Gesamt,Gesamt,Gesamt,117,180,47.274,36.005,58.828,Bremen,0,AMarztB,4
Gesamt,Gesamt,Gesamt,117,180,57.986,49.524,66.004,Bremen,1,AMarztB,4
Gesamt,Gesamt,Gesamt,266,422,53.435,46.643,60.101,Mecklenburg-Vorpommern,1,AMarztB,13
Gesamt,Gesamt,Gesamt,266,422,57.339,49.992,64.377,Mecklenburg-Vorpommern,0,AMarztB,13
Gesamt,Gesamt,Gesamt,314,510,59.521,53.477,65.288,Thüringen,1,AMarztB,16
Gesamt,Gesamt,Gesamt,314,510,65.473,59.558,70.945,Thüringen,0,AMarztB,16
Gesamt,Gesamt,Gesamt,358,642,53.956,48.247,59.564,Hamburg,0,AMarztB,2
Gesamt,Gesamt,Gesamt,358,642,54.752,49.46,59.938,Hamburg,1,AMarztB,2
Gesamt,Gesamt,Gesamt,363,541,59.578,53.416,65.453,Sachsen-Anhalt,1,AMarztB,15
Gesamt,Gesamt,Gesamt,363,541,64.423,58.632,69.821,Sachsen-Anhalt,0,AMarztB,15
Gesamt,Gesamt,Gesamt,434,738,50.055,44.63,55.479,Schleswig-Holstein,1,AMarztB,1
Gesamt,Gesamt,Gesamt,434,738,53.868,48.508,59.139,Schleswig-Holstein,0,AMarztB,1
Gesamt,Gesamt,Gesamt,514,813,55.35,50.168,60.418,Brandenburg,1,AMarztB,12
Gesamt,Gesamt,Gesamt,514,813,61.127,56.193,65.842,Brandenburg,0,AMarztB,12
Gesamt,Gesamt,Gesamt,550,963,52.898,48.028,57.714,Rheinland-Pfalz,1,AMarztB,7
Gesamt,Gesamt,Gesamt,550,963,55.349,50.657,59.949,Rheinland-Pfalz,0,AMarztB,7
Gesamt,Gesamt,Gesamt,578,937,53.3,48.476,58.062,Sachsen,1,AMarztB,14
Gesamt,Gesamt,Gesamt,578,937,57.652,53.071,62.106,Sachsen,0,AMarztB,14
Gesamt,Gesamt,Gesamt,842,1428,54.271,50.443,58.049,Hessen,1,AMarztB,6
Gesamt,Gesamt,Gesamt,842,1428,55.408,51.64,59.115,Hessen,0,AMarztB,6
Gesamt,Gesamt,Gesamt,1021,1802,53.215,49.772,56.628,Niedersachsen,1,AMarztB,3
Gesamt,Gesamt,Gesamt,1021,1802,55.402,52.08,58.678,Niedersachsen,0,AMarztB,3
Gesamt,Gesamt,Gesamt,1241,2077,53.242,49.861,56.595,Berlin,0,AMarztB,11
Gesamt,Gesamt,Gesamt,1241,2077,54.065,50.724,57.369,Berlin,1,AMarztB,11
Gesamt,Gesamt,Gesamt,1284,1973,55.109,51.306,58.854,Saarland,1,AMarztB,10
Gesamt,Gesamt,Gesamt,1284,1973,58.587,55.145,61.946,Saarland,0,AMarztB,10
Gesamt,Gesamt,Gesamt,1392,2540,49.766,47.019,52.514,Baden-Württemberg,1,AMarztB,8
Gesamt,Gesamt,Gesamt,1392,2540,50.211,47.507,52.913,Baden-Württemberg,0,AMarztB,8
Gesamt,Gesamt,Gesamt,1615,2992,51.772,49.171,54.363,Bayern,1,AMarztB,9
Gesamt,Gesamt,Gesamt,1615,2992,52.647,50.084,55.196,Bayern,0,AMarztB,9
Gesamt,Gesamt,Gesamt,2472,4104,53.776,51.456,56.08,Nordrhein-Westfalen,1,AMarztB,5
Gesamt,Gesamt,Gesamt,2472,4104,55.85,53.587,58.089,Nordrhein-Westfalen,0,AMarztB,5
Gesamt,Gesamt,Gesamt,13383,22705,54.986,53.992,55.976,Deutschland,0,AMarztB,0
Gesamt,Obere,Gesamt,6611,11636,49.028,47.74,50.317,Deutschland,1,AMarztB,0
Gesamt,Obere,Gesamt,6611,11636,49.258,48.049,50.468,Deutschland,0,AMarztB,0
Gesamt,Mittlere,Gesamt,5860,9668,53.769,52.383,55.149,Deutschland,1,AMarztB,0
Gesamt,Mittlere,Gesamt,5860,9668,55.047,53.713,56.373,Deutschland,0,AMarztB,0
Gesamt,Untere,Gesamt,881,1339,59.114,55.51,62.622,Deutschland,1,AMarztB,0
Gesamt,Untere,Gesamt,881,1339,63.244,60.071,66.307,Deutschland,0,AMarztB,0
Gesamt,Gesamt,Männer,58,94,39.5,25.676,55.236,Bremen,0,AMarztB,4
Gesamt,Gesamt,Männer,58,94,54.554,43.141,65.508,Bremen,1,AMarztB,4
Gesamt,Gesamt,Männer,112,185,51.892,42.32,61.327,Mecklenburg-Vorpommern,1,AMarztB,13
Gesamt,Gesamt,Männer,112,185,55.563,44.854,65.779,Mecklenburg-Vorpommern,0,AMarztB,13
Gesamt,Gesamt,Männer,136,240,57.063,48.258,65.442,Thüringen,1,AMarztB,16
Gesamt,Gesamt,Männer,136,240,60.346,51.099,68.908,Thüringen,0,AMarztB,16
Gesamt,Gesamt,Männer,149,272,50.78,41.996,59.517,Hamburg,0,AMarztB,2
Gesamt,Gesamt,Männer,149,272,52.508,44.613,60.279,Hamburg,1,AMarztB,2
Gesamt,Gesamt,Männer,174,266,59.21,50.367,67.494,Sachsen-Anhalt,1,AMarztB,15
Gesamt,Gesamt,Männer,174,266,64.069,55.581,71.76,Sachsen-Anhalt,0,AMarztB,15
Gesamt,Gesamt,Männer,181,332,45.714,38.172,53.457,Schleswig-Holstein,1,AMarztB,1
Gesamt,Gesamt,Männer,181,332,47.205,39.381,55.168,Schleswig-Holstein,0,AMarztB,1
Gesamt,Gesamt,Männer,219,380,51.31,43.747,58.812,Brandenburg,1,AMarztB,12
Gesamt,Gesamt,Männer,219,380,56.565,49.302,63.557,Brandenburg,0,AMarztB,12
Gesamt,Gesamt,Männer,249,464,53.648,46.749,60.41,Rheinland-Pfalz,1,AMarztB,7
Gesamt,Gesamt,Männer,249,464,54.829,48.101,61.384,Rheinland-Pfalz,0,AMarztB,7
Gesamt,Gesamt,Männer,266,461,50.763,44.017,57.482,Sachsen,1,AMarztB,14
Gesamt,Gesamt,Männer,266,461,53.674,47.076,60.145,Sachsen,0,AMarztB,14
Gesamt,Gesamt,Männer,376,693,48.743,43.404,54.11,Hessen,1,AMarztB,6
Gesamt,Gesamt,Männer,376,693,49.024,43.682,54.39,Hessen,0,AMarztB,6
Gesamt,Gesamt,Männer,480,878,50.962,45.94,55.963,Niedersachsen,1,AMarztB,3
Gesamt,Gesamt,Männer,480,878,52.351,47.428,57.228,Niedersachsen,0,AMarztB,3
Gesamt,Gesamt,Männer,506,918,46.418,41.361,51.55,Berlin,0,AMarztB,11
Gesamt,Gesamt,Männer,506,918,48.752,43.704,53.825,Berlin,1,AMarztB,11
Gesamt,Gesamt,Männer,543,854,51.44,46.063,56.783,Saarland,1,AMarztB,10
Gesamt,Gesamt,Männer,543,854,53.821,48.768,58.796,Saarland,0,AMarztB,10
Gesamt,Gesamt,Männer,654,1238,47.527,43.678,51.406,Baden-Württemberg,0,AMarztB,8
Gesamt,Gesamt,Männer,654,1238,48.103,44.199,52.03,Baden-Württemberg,1,AMarztB,8
Gesamt,Gesamt,Männer,703,1393,48.164,44.465,51.884,Bayern,0,AMarztB,9
Gesamt,Gesamt,Männer,703,1393,48.558,44.806,52.325,Bayern,1,AMarztB,9
Gesamt,Gesamt,Männer,1136,1994,48.778,45.476,52.09,Nordrhein-Westfalen,1,AMarztB,5
Gesamt,Gesamt,Männer,1136,1994,49.759,46.484,53.036,Nordrhein-Westfalen,0,AMarztB,5
Gesamt,Gesamt,Männer,5955,10686,50.58,49.129,52.03,Deutschland,0,AMarztB,0
Gesamt,Obere,Männer,3582,6386,45.137,43.442,46.843,Deutschland,1,AMarztB,0
Gesamt,Obere,Männer,3582,6386,48.6,47.016,50.188,Deutschland,0,AMarztB,0
Gesamt,Mittlere,Männer,2106,3792,50.753,48.672,52.832,Deutschland,1,AMarztB,0
Gesamt,Mittlere,Männer,2106,3792,50.905,48.855,52.953,Deutschland,0,AMarztB,0
Gesamt,Untere,Männer,253,475,54.028,48.683,59.282,Deutschland,0,AMarztB,0
Gesamt,Untere,Männer,253,475,57.483,52.034,62.756,Deutschland,1,AMarztB,0
18 - 29 Jahre,Gesamt,Frauen,313,895,35.719,31.737,39.909,Deutschland,0,Akrausch,0
18 - 29 Jahre,Gesamt,Gesamt,934,2085,43.663,40.902,46.465,Deutschland,0,Akrausch,0
18 - 29 Jahre,Gesamt,Männer,616,1178,50.371,46.608,54.131,Deutschland,0,Akrausch,0
30 - 44 Jahre,Gesamt,Frauen,402,1885,21.569,19.077,24.289,Deutschland,0,Akrausch,0
30 - 44 Jahre,Gesamt,Gesamt,1150,3743,31.586,29.516,33.732,Deutschland,0,Akrausch,0
30 - 44 Jahre,Gesamt,Männer,747,1848,41.901,38.72,45.151,Deutschland,0,Akrausch,0
45 - 64 Jahre,Gesamt,Frauen,1057,4793,22.185,20.542,23.919,Deutschland,0,Akrausch,0
45 - 64 Jahre,Gesamt,Gesamt,2575,8890,29.794,28.382,31.246,Deutschland,0,Akrausch,0
45 - 64 Jahre,Gesamt,Männer,1517,4079,37.584,35.341,39.882,Deutschland,0,Akrausch,0
65 + Jahre,Gesamt,Frauen,790,4265,15.742,14.216,17.397,Deutschland,0,Akrausch,0
65 + Jahre,Gesamt,Gesamt,1851,7743,21.201,19.844,22.625,Deutschland,0,Akrausch,0
65 + Jahre,Gesamt,Männer,1059,3459,28.41,26.092,30.848,Deutschland,0,Akrausch,0
Gesamt,Gesamt,Frauen,14,86,13.945,7.65,24.069,Bremen,1,Akrausch,4
Gesamt,Gesamt,Frauen,14,86,15.046,6.239,32.035,Bremen,0,Akrausch,4
Gesamt,Gesamt,Frauen,56,231,19.491,13.893,26.646,Mecklenburg-Vorpommern,0,Akrausch,13
Gesamt,Gesamt,Frauen,56,231,23.681,16.407,32.912,Mecklenburg-Vorpommern,1,Akrausch,13
Gesamt,Gesamt,Frauen,63,268,22.555,16.844,29.514,Sachsen-Anhalt,0,Akrausch,15
Gesamt,Gesamt,Frauen,63,268,24.912,18.224,33.063,Sachsen-Anhalt,1,Akrausch,15
Gesamt,Gesamt,Frauen,66,263,25.502,18.827,33.565,Thüringen,0,Akrausch,16
Gesamt,Gesamt,Frauen,66,263,29.188,21.88,37.756,Thüringen,1,Akrausch,16
Gesamt,Gesamt,Frauen,72,364,21.392,16.109,27.833,Hamburg,1,Akrausch,2
Gesamt,Gesamt,Frauen,72,364,22.288,16.547,29.321,Hamburg,0,Akrausch,2
Gesamt,Gesamt,Frauen,79,399,21.406,15.748,28.411,Schleswig-Holstein,0,Akrausch,1
Gesamt,Gesamt,Frauen,79,399,22.082,16.096,29.51,Schleswig-Holstein,1,Akrausch,1
Gesamt,Gesamt,Frauen,100,428,22.189,17.189,28.149,Brandenburg,0,Akrausch,12
Gesamt,Gesamt,Frauen,100,428,24.249,18.762,30.734,Brandenburg,1,Akrausch,12
Gesamt,Gesamt,Frauen,105,490,19.603,15.38,24.647,Rheinland-Pfalz,0,Akrausch,7
Gesamt,Gesamt,Frauen,105,490,19.899,15.399,25.321,Rheinland-Pfalz,1,Akrausch,7
Gesamt,Gesamt,Frauen,128,466,25.695,20.634,31.505,Sachsen,0,Akrausch,14
Gesamt,Gesamt,Frauen,128,466,26.187,20.671,32.57,Sachsen,1,Akrausch,14
Gesamt,Gesamt,Frauen,162,725,23.674,19.526,28.393,Hessen,0,Akrausch,6
Gesamt,Gesamt,Frauen,162,725,23.96,19.655,28.869,Hessen,1,Akrausch,6
Gesamt,Gesamt,Frauen,223,915,26.192,22.358,30.425,Niedersachsen,0,Akrausch,3
Gesamt,Gesamt,Frauen,223,915,27.077,22.959,31.631,Niedersachsen,1,Akrausch,3
Gesamt,Gesamt,Frauen,230,1098,20.254,16.964,23.997,Saarland,0,Akrausch,10
Gesamt,Gesamt,Frauen,230,1098,21.881,17.858,26.519,Saarland,1,Akrausch,10
Gesamt,Gesamt,Frauen,238,1286,19.783,16.914,23.003,Baden-Württemberg,0,Akrausch,8
Gesamt,Gesamt,Frauen,238,1286,20.23,17.264,23.56,Baden-Württemberg,1,Akrausch,8
Gesamt,Gesamt,Frauen,241,1131,24.816,21.165,28.866,Berlin,0,Akrausch,11
Gesamt,Gesamt,Frauen,241,1131,25.167,21.455,29.281,Berlin,1,Akrausch,11
Gesamt,Gesamt,Frauen,340,1579,22.77,19.838,25.994,Bayern,0,Akrausch,9
Gesamt,Gesamt,Frauen,340,1579,23.25,20.223,26.579,Bayern,1,Akrausch,9
Gesamt,Gesamt,Frauen,444,2090,20.76,18.367,23.375,Nordrhein-Westfalen,0,Akrausch,5
Gesamt,Gesamt,Frauen,444,2090,21.41,18.889,24.168,Nordrhein-Westfalen,1,Akrausch,5
Gesamt,Gesamt,Frauen,2562,11838,22.217,21.099,23.377,Deutschland,0,Akrausch,0
Gesamt,Obere,Frauen,1105,5177,22.896,21.265,24.614,Deutschland,0,Akrausch,0
Gesamt,Obere,Frauen,1105,5177,23.36,21.609,25.208,Deutschland,1,Akrausch,0
Gesamt,Mittlere,Frauen,1297,5792,23.509,22.05,25.034,Deutschland,0,Akrausch,0
Gesamt,Mittlere,Frauen,1297,5792,23.821,22.27,25.444,Deutschland,1,Akrausch,0
Gesamt,Untere,Frauen,156,841,18.209,15.318,21.507,Deutschland,0,Akrausch,0
Gesamt,Untere,Frauen,156,841,21.094,17.437,25.283,Deutschland,1,Akrausch,0
Gesamt,Gesamt,Gesamt,53,179,27.004,17.449,39.3,Bremen,0,Akrausch,4
Gesamt,Gesamt,Gesamt,53,179,27.303,20.615,35.2,Bremen,1,Akrausch,4
Gesamt,Gesamt,Gesamt,120,416,28.006,22.229,34.616,Mecklenburg-Vorpommern,0,Akrausch,13
Gesamt,Gesamt,Gesamt,120,416,31.115,25.136,37.798,Mecklenburg-Vorpommern,1,Akrausch,13
Gesamt,Gesamt,Gesamt,152,502,31.244,25.671,37.418,Thüringen,0,Akrausch,16
Gesamt,Gesamt,Gesamt,152,502,33.483,27.856,39.623,Thüringen,1,Akrausch,16
Gesamt,Gesamt,Gesamt,171,638,27.894,23.434,32.84,Hamburg,1,Akrausch,2
Gesamt,Gesamt,Gesamt,171,638,28.579,23.781,33.913,Hamburg,0,Akrausch,2
Gesamt,Gesamt,Gesamt,183,534,32.926,27.793,38.501,Sachsen-Anhalt,0,Akrausch,15
Gesamt,Gesamt,Gesamt,183,534,35.617,29.994,41.667,Sachsen-Anhalt,1,Akrausch,15
Gesamt,Gesamt,Gesamt,189,730,28.109,23.44,33.304,Schleswig-Holstein,0,Akrausch,1
Gesamt,Gesamt,Gesamt,189,730,28.687,23.916,33.985,Schleswig-Holstein,1,Akrausch,1
Gesamt,Gesamt,Gesamt,236,802,30.01,25.735,34.662,Brandenburg,0,Akrausch,12
Gesamt,Gesamt,Gesamt,236,802,31.081,26.528,36.033,Brandenburg,1,Akrausch,12
Gesamt,Gesamt,Gesamt,296,951,27.405,23.766,31.372,Rheinland-Pfalz,0,Akrausch,7
Gesamt,Gesamt,Gesamt,296,951,28.017,24.189,32.193,Rheinland-Pfalz,1,Akrausch,7
Gesamt,Gesamt,Gesamt,304,923,34.774,30.467,39.345,Sachsen,0,Akrausch,14
Gesamt,Gesamt,Gesamt,304,923,35.656,31.089,40.498,Sachsen,1,Akrausch,14
Gesamt,Gesamt,Gesamt,396,1415,29.931,26.593,33.496,Hessen,0,Akrausch,6
Gesamt,Gesamt,Gesamt,396,1415,30.167,26.771,33.795,Hessen,1,Akrausch,6
Gesamt,Gesamt,Gesamt,542,1949,27.478,24.654,30.495,Saarland,0,Akrausch,10
Gesamt,Gesamt,Gesamt,542,1949,28.482,25.293,31.901,Saarland,1,Akrausch,10
Gesamt,Gesamt,Gesamt,554,2047,29.749,26.789,32.889,Berlin,0,Akrausch,11
Gesamt,Gesamt,Gesamt,554,2047,30.098,27.118,33.256,Berlin,1,Akrausch,11
Gesamt,Gesamt,Gesamt,569,1780,33.464,30.391,36.685,Niedersachsen,0,Akrausch,3
Gesamt,Gesamt,Gesamt,569,1780,33.942,30.754,37.282,Niedersachsen,1,Akrausch,3
Gesamt,Gesamt,Gesamt,672,2515,28.826,26.413,31.364,Baden-Württemberg,0,Akrausch,8
Gesamt,Gesamt,Gesamt,672,2515,29.093,26.636,31.679,Baden-Württemberg,1,Akrausch,8
Gesamt,Gesamt,Gesamt,845,2967,29.563,27.269,31.966,Bayern,0,Akrausch,9
Gesamt,Gesamt,Gesamt,845,2967,29.785,27.446,32.235,Bayern,1,Akrausch,9
Gesamt,Gesamt,Gesamt,1220,4070,30.642,28.579,32.786,Nordrhein-Westfalen,0,Akrausch,5
Gesamt,Gesamt,Gesamt,1220,4070,31.174,29.06,33.37,Nordrhein-Westfalen,1,Akrausch,5
Gesamt,Gesamt,Gesamt,6510,22461,30.244,29.335,31.169,Deutschland,0,Akrausch,0
Gesamt,Obere,Gesamt,3365,11525,31.859,30.587,33.158,Deutschland,1,Akrausch,0
Gesamt,Obere,Gesamt,3365,11525,31.88,30.716,33.067,Deutschland,0,Akrausch,0
Gesamt,Mittlere,Gesamt,2829,9568,31.979,30.729,33.255,Deutschland,0,Akrausch,0
Gesamt,Mittlere,Gesamt,2829,9568,32.406,31.104,33.736,Deutschland,1,Akrausch,0
Gesamt,Untere,Gesamt,304,1313,22.504,19.94,25.293,Deutschland,0,Akrausch,0
Gesamt,Untere,Gesamt,304,1313,24.25,21.29,27.477,Deutschland,1,Akrausch,0
Gesamt,Gesamt,Männer,39,93,38.534,28.249,49.957,Bremen,1,Akrausch,4
Gesamt,Gesamt,Männer,39,93,39.53,24.079,57.399,Bremen,0,Akrausch,4
Gesamt,Gesamt,Männer,64,183,38.024,28.403,48.689,Mecklenburg-Vorpommern,0,Akrausch,13
Gesamt,Gesamt,Männer,64,183,39.106,30.124,48.892,Mecklenburg-Vorpommern,1,Akrausch,13
Gesamt,Gesamt,Männer,86,237,37.941,29.3,47.422,Thüringen,0,Akrausch,16
Gesamt,Gesamt,Männer,86,237,38.399,30.123,47.405,Thüringen,1,Akrausch,16
Gesamt,Gesamt,Männer,98,271,35.284,28.239,43.033,Hamburg,1,Akrausch,2
Gesamt,Gesamt,Männer,98,271,35.777,28.09,44.274,Hamburg,0,Akrausch,2
Gesamt,Gesamt,Männer,110,330,35.122,27.94,43.048,Schleswig-Holstein,0,Akrausch,1
Gesamt,Gesamt,Männer,110,330,35.238,28.181,43.004,Schleswig-Holstein,1,Akrausch,1
Gesamt,Gesamt,Männer,120,264,44.165,35.918,52.747,Sachsen-Anhalt,0,Akrausch,15
Gesamt,Gesamt,Männer,120,264,46.764,38.198,55.526,Sachsen-Anhalt,1,Akrausch,15
Gesamt,Gesamt,Männer,136,373,37.96,30.939,45.523,Brandenburg,1,Akrausch,12
Gesamt,Gesamt,Männer,136,373,38.375,31.656,45.57,Brandenburg,0,Akrausch,12
Gesamt,Gesamt,Männer,175,454,44.229,37.679,50.987,Sachsen,0,Akrausch,14
Gesamt,Gesamt,Männer,175,454,45.198,38.434,52.144,Sachsen,1,Akrausch,14
Gesamt,Gesamt,Männer,191,459,36.249,30.389,42.548,Rheinland-Pfalz,0,Akrausch,7
Gesamt,Gesamt,Männer,191,459,36.686,30.64,43.183,Rheinland-Pfalz,1,Akrausch,7
Gesamt,Gesamt,Männer,234,687,36.577,31.51,41.96,Hessen,1,Akrausch,6
Gesamt,Gesamt,Männer,234,687,36.637,31.567,42.021,Hessen,0,Akrausch,6
Gesamt,Gesamt,Männer,310,905,34.968,30.296,39.947,Berlin,0,Akrausch,11
Gesamt,Gesamt,Männer,310,905,35.028,30.396,39.96,Berlin,1,Akrausch,11
Gesamt,Gesamt,Männer,311,847,35.13,30.33,40.251,Saarland,1,Akrausch,10
Gesamt,Gesamt,Männer,311,847,35.176,30.68,39.952,Saarland,0,Akrausch,10
Gesamt,Gesamt,Männer,346,865,40.815,36.021,45.789,Niedersachsen,1,Akrausch,3
Gesamt,Gesamt,Männer,346,865,41.077,36.349,45.976,Niedersachsen,0,Akrausch,3
Gesamt,Gesamt,Männer,433,1222,38.033,34.282,41.932,Baden-Württemberg,1,Akrausch,8
Gesamt,Gesamt,Männer,433,1222,38.205,34.481,42.074,Baden-Württemberg,0,Akrausch,8
Gesamt,Gesamt,Männer,503,1378,36.041,32.568,39.666,Bayern,1,Akrausch,9
Gesamt,Gesamt,Männer,503,1378,36.323,32.875,39.917,Bayern,0,Akrausch,9
Gesamt,Gesamt,Männer,776,1972,41.043,37.798,44.367,Nordrhein-Westfalen,1,Akrausch,5
Gesamt,Gesamt,Männer,776,1972,41.258,38.029,44.563,Nordrhein-Westfalen,0,Akrausch,5
Gesamt,Gesamt,Männer,3939,10564,38.743,37.336,40.169,Deutschland,0,Akrausch,0
Gesamt,Obere,Männer,2258,6320,38.592,37.009,40.199,Deutschland,0,Akrausch,0
Gesamt,Obere,Männer,2258,6320,40.566,38.786,42.372,Deutschland,1,Akrausch,0
Gesamt,Mittlere,Männer,1527,3753,41.11,39.068,43.184,Deutschland,1,Akrausch,0
Gesamt,Mittlere,Männer,1527,3753,41.236,39.221,43.279,Deutschland,0,Akrausch,0
Gesamt,Untere,Männer,146,464,27.471,22.912,32.554,Deutschland,1,Akrausch,0
Gesamt,Untere,Männer,146,464,29.273,24.682,34.33,Deutschland,0,Akrausch,0
18 - 29 Jahre,Gesamt,Frauen,115,896,13.583,10.889,16.817,Deutschland,0,Akrisiko_k,0
18 - 29 Jahre,Gesamt,Gesamt,283,2089,14.211,12.312,16.348,Deutschland,0,Akrisiko_k,0
18 - 29 Jahre,Gesamt,Männer,165,1180,14.805,12.229,17.813,Deutschland,0,Akrisiko_k,0
30 - 44 Jahre,Gesamt,Frauen,202,1885,8.564,7.163,10.208,Deutschland,0,Akrisiko_k,0
30 - 44 Jahre,Gesamt,Gesamt,433,3741,11.056,9.738,12.527,Deutschland,0,Akrisiko_k,0
30 - 44 Jahre,Gesamt,Männer,230,1846,13.649,11.486,16.145,Deutschland,0,Akrisiko_k,0
45 - 64 Jahre,Gesamt,Frauen,744,4790,12.375,11.153,13.711,Deutschland,0,Akrisiko_k,0
45 - 64 Jahre,Gesamt,Gesamt,1440,8878,14.967,13.882,16.121,Deutschland,0,Akrisiko_k,0
45 - 64 Jahre,Gesamt,Männer,695,4070,17.604,15.846,19.511,Deutschland,0,Akrisiko_k,0
