Variablenübersicht (nur generierte und nicht interne Variablen);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Studie;Thema und Fragebogenausschnitt;Unterthema;Varname;;DStyp ID;Datensatztyp;Varlabel;Originalvariable;Dateninfo;SyntaxGenVar;VarLevel; Valuelabel Set;Ausprägungen;Text Dt
;;;;;;;;;;;;;2;Nein
GEDA19;Krankheiten (1101);Schlaganfall (110105);KHbbsa12;;17;Abt2_DS;Schlaganfall/ chron. Beschwerden infolge SA: I.d.l.12 Mon.;KHsa12 BBsa12;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.1.2. Diseases and chronic conditions, S.6/7
Analog GEDA14 in CATI getrennte Fragestellung zum Schlaganfall (KHsa12/CD1F1) und chronische Beschwerden nach Schlaganfall (BBsa12/CD1F2) i.d.l. 12 Monaten zusammengefasst in einer Variable (KHbbsa12/CD1F) laut EHIS-Vorgabe.
Wenn eine der Fragen (KHsa12, BBsa12) mit ""Ja"" beantwortet wurde, wird KHbbsa12 auf ""Ja"" gesetzt. Wenn beide Fragen mit ""Nein"" beantwortet wurden, wird KHbbsa12 auf ""Nein"" gesetzt. 
Missing: wenn eine Frage mit Keine Angabe oder Weiß Nicht und die andere Frage ebenso oder mit Nein beantwortet wurde";"*Zur Info: KHbbsa12 entspricht EHIS Varname CD1F;
IF KHsa12 < 1 or BBsa12 < 1 THEN KHbbsa12=.;
IF KHsa12=1 or BBsa12=1 THEN KHbbsa12=1; /*Ja*/
IF KHsa12=2 and BBsa12=2 THEN KHbbsa12=2; /*Nein*/";Nominal;JaNeinWnKA;;
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Gesundheitszustand (1102);Gesundheitszustand allgemein (110200);GZmehm2D;;17;Abt2_DS;Einschränkung durch Krankheit seit mind. 6 Monaten;GZmehm2C_h1 GZmehm2C_h2;"EHIS wave 3 - Methodological manual (2019-06-28) for Circabc.pdf, ab S.20
HS3: Limitation in activities because of health problems, gemeint sind ""Einschränkung durch Krankheit seit mind. 6 Monaten"", und nicht die Dauer des Gesundheitsproblems.
In der Variable GZmehm2D_h1 in GEDA19 zusammengefasste Fragestellung aus GEDA14 (GZmehm2C, GZmehm2C_h1), somit wird die generierte Variable GZmehm2D in GEDA19 nur aus GZmehm2D_h1 und GZmehm2D_h2 gebildet mit identischen Ausprägungen wie HS3/GZmehm2D in GEDA14.
Missing: wenn GZmehm2D_h1 oder GZmehm2D_h2 nicht beantwortet worden sind.";"/*""Einschränkung durch Krankheit seit mind. 6 Monaten""*/
*GZmehm2D entspricht EHIS-Var HS3;
IF GZmehm2D_h1 =1 AND GZmehm2D_h2 =2 THEN GZmehm2D=1;/*stark eingeschränkt/severely limited*/ 
IF GZmehm2D_h1 =2 AND GZmehm2D_h2 =2 then GZmehm2D=2;/*mäßig eingeschränkt/limited but not severely*/ 
IF GZmehm2D_h1 =3 THEN GZmehm2D=3;/*nicht eingeschränkt/not limited at all*/ 
IF GZmehm2D_h1 in (1 2) AND GZmehm2D_h2 =1 then GZmehm2D=3;/*nicht eingeschränkt/not limited at all*/";Ordinal;Ordinal50f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Stark eingeschränkt
;;;;;;;;;;;;;2;Mäßig eingeschränkt
;;;;;;;;;;;;;3;Nicht eingeschränkt
GEDA19;Gesundheitszustand (1102);Gesundheitszustand allgemein (110200);GZmehm1_k;;17;Abt2_DS;Allg. Gesundheitszustand (in 2 Kat.);GZmehm1;"Wenn der allgemeine, selbst eingeschätzte Gesundheitszustand (GZmehm1) 
sehr gut oder gut ist, dann ist GZmehm1_k = sehr gut/gut
mittelmäßig, schlecht oder sehr schlecht ist, dann ist GZmehm1_k = mittelmäßig/schlecht/sehr schlecht

Missingwerte: Wenn GZmehm1=Missing, dann GZmehm1_k=Missing";"if GZmehm1 in (1 2) then GZmehm1_k=1;
if GZmehm1 in (3 4 5) then GZmehm1_k=2;";Ordinal;GZmehm1_k4f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Sehr gut/gut
;;;;;;;;;;;;;2;Mittelmäßig/schlecht/sehr schlecht
GEDA19;Gesundheitszustand (1102);Gesundheitszustand allgemein (110200);GZmehm1_k3;;17;Abt2_DS;Allg. Gesundheitszustand (in 2 Kat.);GZmehm1;"Wenn der allgemeine, selbst eingeschätzte Gesundheitszustand (GZmehm1) 
schlecht oder sehr schlecht ist, dann ist GZmehm1_k3 = schlecht/sehr schlecht
wenn er sehr gut, gut oder mittelmäßig ist, dann ist GZmehm1_k3 = sehr gut/gut/mittelmäßig


Missingwerte: Wenn GZmehm1=Missing, dann GZmehm1_k3=Missing";"if GZmehm1 in (4 5) then GZmehm1_k3=1;
if GZmehm1 in (1 2 3) then GZmehm1_k3=2;";Ordinal;GZmehm1_k5f;;
;;;;;;;;;;;;;1;Schlecht/sehr schlecht
;;;;;;;;;;;;;2;Sehr gut/gut/mittelmäßig
GEDA19;Gesundheitszustand (1102);Gesundheitszustand allgemein (110200);GZmehm2D_k;;17;Abt2_DS;Einschränkung durch Krankheit seit mind. 6 Monaten  (in 2 Kat.);GZmehm2C_h1 GZmehm2C_h2;"Wenn die Einschränkung durch Krankheit bei Tätigkeiten im normalen Alltagsleben seit mind. 6 Monaten (GZmehm2D) stark eingeschränkt ist,
dann ist GZmehm2D_k = Stark eingeschränk
wenn sie mäßig oder nicht eingeschränkt ist, dann ist GZmehm2D_k = Mäßig oder nicht eingeschränkt

Missingwerte: Wenn GZmehm2D=Missing, dann GZmehm2D_k=Missing";"if GZmehm2D=1 then GZmehm2D_k=1;
 else if GZmehm2D>0 then GZmehm2D_k=2;";Ordinal;GZmehm2D_k;;
;;;;;;;;;;;;;1;Stark eingeschränkt
;;;;;;;;;;;;;2;Mäßig/nicht eingeschränkt
GEDA19;Gesundheitszustand (1102);Gesundheitszustand allgemein (110200);GZmehm2D_k2;;17;Abt2_DS;Einschränkung durch Krankheit seit mind. 6 Monaten (in 2 Kat.);GZmehm2C_h1 GZmehm2C_h2;"Wenn die Einschränkung durch Krankheit bei Tätigkeiten im normalen Alltagsleben seit mind. 6 Monaten (GZmehm2D) nicht eingeschränkt ist,
dann ist GZmehm2D_k2 = Nicht eingeschränkt,
wenn sie mäßig oder stark eingeschränkt ist, dann ist GZmehm2D_k2 = Mäßig oder stark eingeschränkt.

Missingwerte: Wenn GZmehm2D=Missing, dann GZmehm2D_k2=Missing";"if GZmehm2D=3 then GZmehm2D_k2=1; 
else if GZmehm2D in (1 2) then GZmehm2D_k2=2;";Ordinal;GZmehm2D_k2f;;
;;;;;;;;;;;;;1;Nicht eingeschränkt
;;;;;;;;;;;;;2;Mäßig/stark eingeschränkt
GEDA19;Sehen und Hören (1104);Sehen und Hören allgemein (110400);SHbblimit_k;;17;Abt2_DS;Körperliche u. sensorische, funktionale Einschränkungen (kat.);SHseh1 SHseh2C SHhoer1 SHhoer5 SHhoer6 BBgehen BBtreppe;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 
3.1.5. Physical and sensory functional limitations/Körperliche u. sensorische, funktionale Einschränkungen,kategorisiert, S.11
Missing: wenn SHseh1, SHhoer1, umkodierte (SHseh2C, SHhoer5, SHhoer6) und BBgehen, BBtreppe komplett nicht beantwortet worden sind.";"/*Recoding of vision and hearing difficulty variables*/
 /*SH und BB betreffen!*/
IF SHseh1=3 THEN PL2p=4; ELSE PL2P=SHseh2C;/*blind persons*/
IF SHhoer1=3 THEN PL4p=4; ELSE PL4p=SHhoer5;/*deaf persons*/
IF SHhoer1=3 OR SHhoer5=4 THEN PL5p=4; ELSE PL5p=SHhoer6;/*deaf persons*/

/*Calculation of a summary variable, PLp= max(PL2p, PL4p, PL5p, PL6, PL7);*/
PLp= max(PL2p, PL4p, PL5p, Bbgehen, Bbtreppe);

/*Calculation of a recoded variable for dissemination(Verteilung): PLc*/
IF PLp=1 THEN Shbblimit_k=1;/*None/Keine*/
IF PLp=2 THEN Shbblimit_k=2;/*Moderate/Mittelgradig*/
IF PLp=3 OR PLp=4 THEN Shbblimit_k=3;/*Severe/Schwerwiegend*/

 *RKI-EHIS-Namen:;
 *SHseh1 entspricht EHIS PL1;
 *SHseh2C entspricht EHIS PL2;
 *SHshoer1 entspricht EHIS PL3;
 *SHshoer5 entspricht EHIS PL4;
 *SHshoer6 entspricht EHIS PL5;
*S Hbblimit_k entspricht EHIS PLc;";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Sehen und Hören (1104);Sehen und Hören allgemein (110400);SHsehlimit_k;;17;Abt2_DS;Schwierigkeiten beim Sehen (kat.);SHseh1 SHseh2C;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 
3.1.5. Physical and sensory functional limitations/Difficulty in seeing/Schwierigkeiten beim Sehen, kategorisiert, S.12
Missing: wenn SHseh2C oder SHseh1 nicht beantwortet worden sind.";"/*Creating a recoded variable for dissemination(Verteilung): PL2c*/
IF PL2p=1 THEN PL2c=1;/*None/Keine*/
IF PL2p=2 THEN PL2c=2;/*Moderate/Mittelgradig*/
IF PL2p=3 OR PL2p=4 THEN PL2c=3;/*Severe/Schwerwiegend*/

SHsehlimit_k=PL2c;";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Sehen und Hören (1104);Sehen und Hören allgemein (110400);SHbblimit2_k;;17;Abt2_DS;Einschränkungen der grundlegenden Funktionen (kat.);SHseh1 SHseh2C SHhoer1 SHhoer5 SHhoer6 BBgehen BBtreppe BBkonz1;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 
3.1.5. Physical and sensory functional limitations/Basic actions limitations/Einschränkungen der grundlegenden Funktionen, kategorisiert, S.12/13
Missing: wenn SHseh1, SHhoer1, umkodierte (SHseh2C, SHhoer5, SHhoer6) und Bbgehen, Bbtreppe, BBkonz1 komplett nicht beantwortet worden sind.";"/*Calculation of a summary variable, PLp2= max(PL2p, PL4p, PL5p, PL6, PL7, PL8);*/
/*SH und BB betreffend!*/
/*Zwischenvariablen PL2p, PL4p, PL5p wurden bereits bei der Berechnung von SHbblimit_k generiert*/
PLp2= max(PL2p, PL4p, PL5p, BBgehen, BBtreppe, BBkonz1);

/*Calculation of a recoded variable for dissemination(Verteilung): PLc2*/
IF PLp2=1 THEN SHbblimit2_k=1;/*None/Keine*/
IF PLp2=2 THEN SHbblimit2_k=2;/*Moderate/Mittelgradig*/
IF PLp2=3 OR PLp2=4 THEN SHbblimit2_k=3;/*Severe/Schwerwiegend*/

*SHbblimit2_k entspricht EHIS PLc2;";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Sehen und Hören (1104);Sehen und Hören allgemein (110400);SHhoerlimit_k;;17;Abt2_DS;Schwierigkeiten beim Hören (kat.);SHhoer1 SHhoer5 SHhoer6;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 
3.1.5. Physical and sensory functional limitations/Difficulty in hearing/Schwierigkeiten beim Hören, kategorisiert, S.13
Missing: wenn SHhoer5 und SHhoer6 nicht beantwortet worden sind.";"/*Calculation of a total hearing difficulty variable: PL45/Shhoerlimit_45*/
 /*Zwischenvariablen PL4p, PL5p wurden bereits bei der Berechnung von Shbblimit_k generiert*/
 PL45= max(PL4p, PL5p);
 /*Recoding the total hearing difficulty variable: PL45*/
 IF PL45=1 THEN Shhoerlimit_k=1;/*None/Keine*/
 IF PL45=2 THEN Shhoerlimit_k=2;/*Moderate/Mittelgradig*/
 IF PL45=3 OR PL45=4 THEN Shhoerlimit_k=3;/*Severe/Schwerwiegend*/
 *Shhoerlimit_k entspricht EHIS PL45;";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Sehen und Hören (1104);Sehen und Hören allgemein (110400);SHsehkorr_k;;17;Abt2_DS;Korrektur von Sehschwächen (kat.);SHseh1 SHseh2C;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 
3.1.5. Physical and sensory functional limitations/Correction of vision problems/Korrektur von Sehschächen, kategorisiert, S.15
Missing: wenn SHseh1 oder SHseh2C nicht beantwortet worden sind (.W, .K, .F).";"/*Creating a new variable: PL_CRE*/
 IF SHseh1=1 AND SHseh2C=1 THEN SHsehkorr_k=1;/*Vision difficulty corrected with no remaining eye health problem/Sehschwäche korrigiert, ohne verbleibende Beeinträchtigung der Augengesundheit*/
 IF SHseh1=1 AND SHseh2C in (2 3 4) THEN SHsehkorr_k=2;/*Vision difficulty corrected with remaining eye health problem/Sehschwäche korrigiert mit verbleibendem Augengesundheitsproblem*/
 IF SHseh1=2 AND SHseh2C in (2 3 4) THEN SHsehkorr_k=3;/*Vision difficulty without correction/Sehschwäche ohne Korrektur*/
 IF SHseh1=2 AND SHseh2C=1 THEN SHsehkorr_k=4;/*No vision difficulty/Keine Sehschwierigkeiten*/
 *SHsehkorr_k entspricht EHIS PL_CRE;";Nominal;SHseh5f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Sehhilfe vorhanden ohne Sehschwierigkeiten
;;;;;;;;;;;;;2;Sehhilfe vorhanden mit verbleibenden Sehschwierigkeiten
;;;;;;;;;;;;;3;Sehschwierigkeiten ohne vorhandene Sehhilfe
;;;;;;;;;;;;;4;Keine Sehschwierigkeiten
GEDA19;Sehen und Hören (1104);Sehen und Hören allgemein (110400);SHseh1_k;;17;Abt2_DS;Brille oder Kontaktlinsen (ohne sehbehindert oder blind);SHseh1;"Grundlage ist SHseh1. Wenn SEseh1 den Wert 3 (Ich bin stark sehbehindert oder kann nicht sehen) hat, dann wird SHseh1_k auf Missing gesetzt.

SHseh1_k ist Missing, wenn SHseh1=3 oder SHseh1 mit ""keine Angabe"" oder ""Weiß nicht"" beantwortet wurde.";"SHseh1_k=SHseh1;
if SHseh1_k=3 then SHseh1_k=.;
if SHseh1_k=.K  then SHseh1_k=.;
if SHseh1_k=.W then SHseh1_k=.;";Nominal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Funkt. Beeinträcht, Beschwerden u. Behinderung (1105);Funktionelle Beeinträchtigungen u. Beschwerden (110500);BBgehlimit_k;;17;Abt2_DS;Schwierigkeiten beim Laufen u. Treppensteigen (kat.);BBgehen BBtreppe;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 
3.1.5. Physical and sensory functional limitations/Difficulty in walking/Schwierigkeiten beim Laufen u. Treppensteigen, kategorisiert in 3 Kategorien, S.14
Missing: wenn BBgehen und BBtreppe nicht beantwortet worden sind.";"/*Calculation of a total walking difficulty variable: PL67*/
PL67= max(BBgehen, BBtreppe);

/*Recoding the total walking difficulty variable: PL67*/
IF PL67=1 THEN BBgehlimit_k=1;/*None/Keine*/
IF PL67=2 THEN BBgehlimit_k=2;/*Moderate/Mittelgradig*/
IF PL67=3 OR PL67=4 THEN BBgehlimit_k=3;/*Severe/Schwerwiegend*/";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Funkt. Beeinträcht, Beschwerden u. Behinderung (1105);Funktionelle Beeinträchtigungen u. Beschwerden (110500);BBkonzlimit_k;;17;Abt2_DS;Schwierigkeiten sich zu erinnern o. zu konzentrieren (kat.);BBkonz1;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 
3.1.5. Physical and sensory functional limitations/Difficulty in remembering or concentration/Schwierigkeiten sich zu erinnern o. zu konzentrieren, kategorisiert, S.15
Missing: wenn BBkonz1 nicht beantwortet worden ist.";"/*Creating a recoded variable for dissemination(Verteilung): PL8c*/
IF BBkonz1=1 THEN PL8c=1;/*None/Keine*/
IF BBkonz1=2 THEN PL8c=2;/*Moderate/Mittelgradig*/
IF BBkonz1=3 OR BBkonz1=4 THEN PL8c=3;/*Severe/Schwerwiegend*/

BBkonzlimit_k=PL8c;";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Funkt. Beeinträcht, Beschwerden u. Behinderung (1105);Funktionelle Beeinträchtigungen u. Beschwerden (110500);BBesslimit_k;;17;Abt2_DS;Schwierigkeiten beim Beißen und Kauen von harten Lebensmitteln (kat.);BBessen;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.1.5. Physical and sensory functional limitations/
Difficulty biting and chewing on hard foods/Schwierigkeiten beim Beißen und Kauen von harten Lebensmitteln  (population aged 55 or over), kategorisiert, S.16
Missing: wenn BBessen nicht beantwortet worden ist oder das Alter/Proband <55 Jahre ist (Nicht erhoben).";"/*Creating a recoded variable for dissemination(Verteilung): PL9c*/
IF BBessen=1 THEN PL9c=1;/*None/Keine*/
IF BBessen=2 THEN PL9c=2;/*Moderate/Mittelgradig*/
IF BBessen=3 OR BBessen=4 THEN PL9c=3;/*Severe/Schwerwiegend*/

BBesslimit_k=PL9c;
IF age<55 THEN BBesslimit_k=.N;/*Nicht erhoben Age<55*/";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Funkt. Beeinträcht, Beschwerden u. Behinderung (1105);Funktionelle Beeinträchtigungen u. Beschwerden (110500);BBcarelimit_k;;17;Abt2_DS;Schwierigkeiten bei der Körperpflege (kat.);BBschwierig1 BBschwierig2 BBschwierig3 BBschwierig4 BBschwierig5;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.1.6. Personal care activities/
Difficulty in personal care activities/Schwierigkeiten bei der Körperpflege, population aged 55 or over, kategorisiert, S.17
Missing: wenn BBschwierig1,  BBschwierig2,  BBschwierig3,  BBschwierig4 und BBschwierig5 komplett nicht beantwortet worden sind oder das Alter/Proband <55 Jahre ist (Nicht erhoben).";"/*Calculation of total variable: PCp*/
PCp= max(BBschwierig1, BBschwierig2, BBschwierig3, BBschwierig4, BBschwierig5);


/*Creating a recoded variable for dissemination(Verteilung)in at least one personal care activity (in mindestens einer Körperpflegetätigkeit): PCc*/
IF PCp=1 THEN PCc=1;/*None/Keine*/
IF PCp=2 THEN PCc=2;/*Moderate/Mittelgradig*/
IF PCp=3 OR PCp=4 THEN PCc=3;/*Severe/Schwerwiegend*/

BBcarelimit_k=PCc;
IF age<55 THEN BBcarelimit_k=.N;/*Nicht erhoben Age<55*/";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Funkt. Beeinträcht, Beschwerden u. Behinderung (1105);Funktionelle Beeinträchtigungen u. Beschwerden (110500);BBlimitA_k;;17;Abt2_DS;Schwierigkeiten bei der Nahrungsaufnahme (kat.);BBschwierig1;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.1.6. Personal care activities, S.17/18
Difficulty in selected personal activities, kind of activity (Art der Tätigkeit) population aged 55 or over, kategorisiert
A. Difficulty in feeding oneself/Schwierigkeiten bei der Nahrungsaufnahme
Missing: wenn BBschwierig1 nicht beantwortet worden ist oder das Alter/Proband <55 Jahre ist (Nicht erhoben).";"/*Creating a recoded variable for dissemination(Verteilung), A. Difficulty in feeding oneself/Schwierigkeiten bei der Nahrungsaufnahme: PC1Ad*/
IF BBschwierig1=1 THEN PC1Ad=1;/*None/Keine*/
IF BBschwierig1=2 THEN PC1Ad=2;/*Moderate/Mittelgradig*/
IF BBschwierig1=3 OR BBschwierig1=4 THEN PC1Ad=3;/*Severe/Schwerwiegend*/

BBlimitA_k=PC1Ad;
IF age<55 THEN BBlimitA_k=.N;/*Nicht erhoben Age<55*/";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
GEDA19;Funkt. Beeinträcht, Beschwerden u. Behinderung (1105);Funktionelle Beeinträchtigungen u. Beschwerden (110500);BBlimitB_k;;17;Abt2_DS;Schwierigkeiten sich von Bett oder Stuhl zu erheben/niederlassen (kat.);BBschwierig2;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.1.6. Personal care activities, S.17/18
Difficulty in selected personal activities, kind of activity (Art der Tätigkeit) population aged 55 or over, kategorisiert
B. Difficulty in getting in and out of a bed or chair/Schwierigkeiten sich von Bett oder Stuhl zu erheben/niederlassen
Missing: wenn BBschwierig2 nicht beantwortet worden ist oder das Alter/Proband <55 Jahre ist (Nicht erhoben).";"/*Creating a recoded variable for dissemination(Verteilung), B. Difficulty in getting in and out of a bed or chair/Schwierigkeiten sich von Bett oder Stuhl zu erheben/niederlassen: PC1Bd*/
IF BBschwierig2=1 THEN PC1Bd=1;/*None/Keine*/
IF BBschwierig2=2 THEN PC1Bd=2;/*Moderate/Mittelgradig*/
IF BBschwierig2=3 OR BBschwierig2=4 THEN PC1Bd=3;/*Severe/Schwerwiegend*/

BBlimitB_k=PC1Bd;
IF age<55 THEN BBlimitB_k=.N;/*Nicht erhoben Age<55*/";Ordinal;Haeufig103f;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Keine
;;;;;;;;;;;;;2;Mittelgradig
;;;;;;;;;;;;;3;Schwerwiegend
